raw_text,cleaned_words
"콘서트, 팬싸 등 케이팝 문화를 한국적으로 잘 살린 부분은 좋지만, 단적으로 말하자면 영화가 재미가 없다. 영화가 너무 길게 느껴져서 몇 번이나 끊었다 멈췄다를 반복하며 겨우 완주 성공.",콘서트 팬싸 문화 한국 부분 재미 길다 반복 겨우 완주 성공
아 그냥 헌트릭스에 진우랑 복근남 껴서 올데이프로젝트 하자고,트릭 진우 복근 데이 프로젝트 하자
누가 부른 건지 노래가 개좋길래 끝까지 본 거였는데 트와이스인 것 확인하고 이마 탁,누가 노래 트와이스 확인 이마
고증 국뽕 그래픽 노래 등 거의 모든 부분이 좋은데 종막에서 갑자기 화해! 해결! 방식이 좋지 않았다.,고증 국뽕 그래픽 노래 거의 모든 부분 종막 갑자기 화해 해결 방식
"가능성은 잘 봤지만, 앞으로는 한국문화 기반 작품들이 개연성과 작품성이 더 좋아지는 방향으로 나아가길 바랍니다.",가능성 한국 문화 기반 개연 성과 방향
공들여 잘만든 케이팝 뮤직비디오. 국뽕이 차고 노래가 참 좋지만 스토리는 뭐 포기했어야 했나..,잘만 뮤직비디오 국뽕 차고 노래 스토리 포기
스타일리쉬하고 한국적이게 잘 만들었다,스타 일리 국적
영화의 탈을 쓴 한 편의 고퀄리티 뮤직비디오,편의 퀄리티 뮤직비디오
보편성이라기엔 지나치게 단순한 이야기와 부족한 개연성을 케이팝과 케이컬처의 힘으로!!,보편성 단순하다 이야기 부족하다 개연 케이 컬처
애니메이션굿,애니메이션
사자보다 호랑이.,사자 호랑이
그래픽과 노래가 훌륭한데도 스토리 때문에,그래픽 노래 훌륭하다 스토리 때문
대단히 좋았던 점은 없지만 꽤나 집중해서 봤다.,대단하다 집중
내 취향은 확실히 아니네,취향 확실하다
노래는 좋지만 나머지를 버틸 항마력이 딸린다,노래 나머지 마력
애니메이션치고도 유머가 너무 유치하다. 음악이나 미술이나 좋은 부분은 있다.,애니메이션 유머 유치하다 음악 미술 부분
마인크래프트 무비를 보고 아는 게 나와서 신난 어린아이의 들뜸과 구별할 수 있는가?,마인크래프트 무비 보고 신나다 들뜨다 구별
K 국뽕을 느끼고 싶다면 한 번쯤 볼만하다.,국뽕 만하
빈약한 플롯의 최고점.,빈약하다 플롯 최고점
그리고 떠오르는 한국의 위상을 고려하면 이 애니메이션 영화의 가치가 더 크다고 생각한다!,한국 위상 고려 애니메이션 가치
흠 너무 전형적인 남주여주서사;;,전형 서사
"캐릭터들을 서양인처럼 그리지도, 서양인 머릿 속에 있는 동양인처럼 그리지도 않은 점이 제일 마음에 든다.",캐릭터 서양인 서양인 머릿 동양인 제일 마음
마이 리틀 소다팝~,마이 리틀
진짜 실제로 이런 아이돌 있으면 좋겠다,실제 아이돌
잠깐 봤는데 흠.,잠깐
기존의 소니 애니메이션을 기대했는데 한국드라마 + EBS 만화 느낌이라 실망한 부분이 조금은 있다.,기존 소니 애니메이션 기대하다 한국 만화 실망하다 부분 조금
"내용은 정말 유치하지만 한국 전통문양이나 문화를 이토록 세련되게 담은 작품은 처음이다 가장 한국적인 것이 가장 세계적인 것이라는 말, 이정도 연출이어야 받아들여질듯",내용 유치하다 한국 전통 이나 문화 세련되다 처음 가장 한국 가장 세계 이정 연출
내용은 유치한데 노래가 고트 ;;;,내용 유치하다 노래 고트
위기감 없는 서사가 단조로운 사회와 홀려버린 문화를 어설프게 풍자한다.,위기 서사 단조롭다 사회 홀려 문화 어설프다 풍자
귀마 목소리가 너무 좋아서 친구들하고 있다가 가능이라고 소리질럿슨 미국에 이런 성우가 있었냐며,목소리 친구 가능 소리 럿슨 미국 성우
니가 지금 연애할 때야?,지금 연애
목숨 호록,목숨
도깨비가 전부 일본 오니로 나오는게 에러고,도깨비 전부 일본 오니 에러
리틀소다팝팝팝크레용팝,리틀 팝팝팝 크레용팝
이것저것 섞인 양산형 음식을 먹는 듯한,양산 음식
노래는 좋았던 것 같은데,노래
호랑이 까치 데뷔해 데뷔해,호랑이 까치 데뷔 데뷔
노래가 기대 이상,노래 기대 이상
뭐 이런건 보여주고 싶은게 너무 많아서 신경 못 썼을 것 같고 오락성으로 나쁘지는 않았는데... 이성애 모먼트들이 너무 싫었어서 😮‍💨,신경 오락 나쁘다 이성애 모먼트 싫다
1시간 30분짜리 케이팝 아이돌 뮤직비디오.,시간 아이돌 뮤직비디오
사자보이즈 진우 혼자 멱살잡고 인기 끌어오는데 데뷔초부터 연애설 터뜨리는 병크멤,사자 보이즈 진우 혼자 멱살 잡고 인기 데뷔초 연애 병크
뭐야 이거 왜 재밌어?,재밌다
박진용(@high_yongs),박진용
진우가 없어도 해낼 수 있어 루미.,진우 루미
보기 전엔 조이가 귀여웠는데 미라가 호감이다,보기 조이 귀엽다 미라 호감
유치찬란한 소재와 연출로 써내려간 영화가 의외로 재미만큼은 보장한다. 단연 독보적인 건 OST.,유치 찬란하다 소재 연출 재미 보장 단연 독보
케이팝이 너무좋은 외국인 청소년이 즐겁게 쓴 케이팝팬픽,외국인 청소년 즐겁다 팬픽
노래는 좋지만 전개가 조금씩 잘린듯한 느낌이 듦,노래 전개
너무뻔한 클리셰 시시하게끝난 구마,뻔하다 클리셰 시시하다 구마
흥행의 이유를 ost에서 찾은 애니메이션.,흥행 이유 애니메이션
스토리 자체는 별거 없으나 노래가 올려준 점수,스토리 자체 별거 노래 점수
매끈하고 화려한 공갈 굿즈로서의 K,매끈하다 화려하다 공갈 로서
끝끝내 납득할수 밖에 없는 집요한 스타일. 구조적 구멍을 매꾼다.,끝내 납득 집요하다 스타일 구조 구멍
온 세상이 나를 가스라이팅하는 듯 하다.,세상 가스
요즘 아이돌 극한직업이내..........,요즘 아이돌 극한 직업 이내
유치했는데 고증잘했다 생각하니 포인트들을 찾느라 꽤 재미있게 봄. 노래가 good,유치하다 고증 포인트 재미있다 노래
마지막에 ‘Golden’ 풀버전 나올 줄 알았는데 안 나와서 아쉽네.,마지막 버전 아쉽다
도대체… 뭐에 이렇게 열광하는 거예요?,도대체 열광하다
일단 세계적으로 먹혔다는 거에 의의를 두자.,일단 세계 의의
나는 왜 인기 많은줄 모르겠다.,인기
볼까말까 볼까말까 하다가 봄,까맣다 까맣다
허약한 뼈대를 풍성한 청각으로 덮고 대중성에 올인한다,허약하다 뼈대 성하다 청각 대중성 올인
급전개의 의아함과 허무함을 OST로 덮어버리다.,급전 의아 허무하다
이걸 재밌게 보기엔 내가 너무 큰 듯,재밌다 보기
이게 왜 이렇게 유행하는지 모르겠음,유행
진부한 스토리를 보충하는 건 연출도 노래도 아닌 국뽕,진부하다 스토리 보충 연출 노래 국뽕
좋은 ost와 빠른 전개. 지루할 틈을 안준다. 뮤지컬을 본다는 느낌으로 눈요기 하기엔 좋았다.,빠르다 전개 지루하다 뮤지컬 눈요기
서울대 아들 자랑하는 팔불출 아줌마를 본 느낌,서울대 아들 자랑 불출 아줌마
"각본은 미국, 배경은 한국, 그로 인한 결과물은 충분히 신선하다.",각본 미국 배경 한국 그로 인하다 결과물 충분하다 신선하다
서울시는 감독한테 명예시민권 하나 파 줘라.,서울시 명예 시민권 하나
명성과 OST 퀄리티에 비해 너무 부실한 스토리. 허울만 좋다.,명성 퀄리티 부실하다 스토리 허울
"음악은 좋고, 내용, 영상은 무난했지만 오묘한 불쾌감이 느껴졌음. 특히 kpop이라면서 모든 노래가 영언데 가끔씩 한국어는 할당제로 끼워넣었을때 너무 억지로 한국임을 주장하려는 것 같아서 불쾌했음.",음악 내용 영상 무난 오묘하다 불쾌감 모든 노래 가끔 한국어 할당 제로 억지로 한국 주장 불쾌하다
의외로 골든보다 소다팝이 귀에 더 맴도는..,맴도
아이들 용이라고 생각하면 다 이해된다.,아이 용이 이해
세계 사람들이 한국 문화를 얼마나 좋아하는지 가늠할 수 있는 파라메터인 것 같다. 막 똥 방귀 오줌 등만 외쳐도 자지러지는 아이들같이 케이문화 두서없이 나열해도 그냥 좋아하네.,세계 사람 한국 문화 얼마나 좋아하다 가늠 파라 메터 방귀 오줌 아이 케이 문화 두서 나열하다 좋아하다
"끝내주는 음악과 영상미,개성 있는 캐릭터 덕을 좀 많이 본 작품",끝내주다 음악 상미 개성 캐릭터
스토리는 뻔한데 노래가 살렸음,스토리 뻔하다 노래
괜찮은 오락영화인데 개인적으로 심금을 울렸다까진 아니네,괜찮다 오락 개인 심금
더 재밌을 수 있었는데…!!!,재밌다
"유행따라 봤는데, 신선했지만 내 취향은 아님",유행 신선하다 취향
이렇게까지 유행할 정도인가 싶음,유행 정도
노래로 악마잡는 영화에 개연성 운운하는게 웃기지만 그래도 아쉬운 스토리.,노래 악마 개연 웃기 아쉽다 스토리
김밥 컵라면 찜질방 한의원 드가자,김밥 컵라면 찜질방 한의원 드가자
그렇지만 노래는 매우 훌륭.,노래 매우 훌륭
노래 이젠 너무 들어서 돌아버릴 것 같음,노래
내 취향이 아니라고 생각해서 안봤는데 전세계적으로 각광받아서 본 작품. 한국적인 요소를 찾는 재미도 있었고 목소리나 노래들이 다 좋았다. 하지만 오글거리는 부분들도 많았다.,취향 전세계 각광 한국 요소 재미 목소리 노래 부분
무대 의상을 입고 악마를 때려잡는다.,무대 의상 악마
온갖 한국 문화를 가져다 놓았으나 전혀 한국적이지 않다,온갖 한국 문화 전혀 한국
"내 아이돌이 팬싸에서저러고잇다는생각이들때 집중하기가어려웟긔,,",아이돌 팬싸 집중 웟긔
퀄리티는 상당히 준수하나 이렇게까지 인기있는 이유가 신기한 스토리의 유치함.,퀄리티 상당하다 준수 하나 인기 이유 신기하다 스토리 유치하다
전 세계 1위라 별로 재미는 없어보이긴 했는데 이때 아니면 언제보나 이런 생각도 들고 이동진평론가님이 보셔서 본게 크다.ㅋㅋ 뭔가 애니메이션이 한국배경이라 조금 신기했다. 꽤나 감동포인트도 있고 노래도 중독성있고 나름 재밌게 봤다.,세계 별로 재미 제보 이동진 평론가 뭔가 애니메이션 한국 배경 조금 신기하다 감동 포인트 노래 중독 나름 재밌다
"이렇게 재미없게 볼 줄은 보기전까지는 나도 몰랐다. 반응이 대체로 좋아서 나도 좋아하지 않을까라는 막연한 기대감이 살짝 있었는데 전혀 아니었다. 세대를 아우르는 애니도 있지만, 이 영화는 나같은 사람을 위한 건 아니니까.. 뭐랄까 쇼츠같은 게 연속으로 재생되는 느낌이었다고 해야하나..그래서인지 지루한감은 없는데 충분히 캐릭터에 이입하고 공감할 시간이 너무 부족하다고 느껴짐. 그냥 빠른 진행과 다소 진부한 이야기형태로 그래그래 그렇구나라는 정도의 마음.. 3.5 이상은 줄 수 있는 것이길 바랬는데 아니어서 좀 서운하네.",재미없다 반응 대체로 좋아하다 막연하다 대감 살짝 전혀 세대 애니 사람 쇼츠같 연속 재생 래서 지루하다 충분하다 캐릭터 이입 공감 시간 부족하다 빠르다 진행 다소 진부하다 이야기 형태 그래그래 구나 정도 마음 이상은 바랬는데 서운하다
내가 루미 오시였으면 정병먹다 탈빠함,루미 정병 탈빠함
"스토리에서 힘이 쭉빠지고.. 진우의 서사가 너무 아쉬웠지만 노래들이 다 해버렸다. 귀가 반응하는 테디의 비트, 뻔하고 익숙한 것들을 기가막히게 버무린 맛!",스토리 진우 서사 아쉽다 노래 귀가 반응 테디 비트 뻔하다 익숙하다 버무린
귀마에 홀린 군중이 남산타워 오르는 걸 보며 힘들겠다는 생각만,홀린 군중 남산타워 힘들다
액션씬과 노래에서 감탄했고 세계관에 경악했다,액션씬 노래 감탄 세계관 경악
케이팝 대단한건 알겠는데.. 뭐랄까.. 중요한 게 하나 빠진 느낌이랄까,대단하다 중요하다 하나
개인적인 취향이긴한데 스토리를 너무 클리셰으로 밀었다.,개인 취향 스토리 클리셰
언젠가 소다팝이랑 골든을 추억하게 될 날이 오겠지. 경로당 bgm으로 사자보이즈 노래를 틀면서.,추억 경로당 사자 보이즈 노래
노래가 너무 좋아서 노래 계속 듣는 중!,노래 노래 계속
노래 좋고 애니 잘 만들었고,노래 애니
"노래, 비주얼 좋고 한국 문화가 잘 담긴 애니메이션이 만들어졌음에 의의.",노래 비주 한국 문화 애니메이션 의의
ost 말고는 딱히 모르겠음,딱하다
내 취향 아닐건 알고 있었다.,취향
아무리 내가 한국인이라도 재미없는 건 없는거야,한국인 재미없다
한국 유튜브 숏츠 모아다가 짬뽕해서 끓인 것 같다...,한국 유튜브 숏츠 짬뽕
그렇게까지 옹호받을만한 작품인진 모르겟음 걍 노래빨인듯,옹호 노래
"7분만 버티면 들려오는 조화의 하모니,",분만 조화 하모니
"중독성 있는 노래, 느끼한 아이돌 😏",중독 노래 느끼하다 아이돌
케이팝/아이돌 문화엔 아직도 꽤 비판적이어서. 케이팝이 니시취향인 나라에서 나고 자란 사람이면 이게 신기하고 쿨해보일 수도 있는데… 케이팝이 니시가 아니라 대중취향인 나라에서 어린 시절 나고 자라서 좋아하기가 어렵다. ㅎㅎㅎㅎㅎ 새로운 것에 굶주린 마켓에 신선한 케이- 어쩌구 고기 던져주지 맛있지. 국뽕 마케팅에도 적절하고.,아이돌 문화 비판 취향 나라 사람 이면 신기하다 쿨하다 수도 니시 대중 취향 나라 시절 좋아하다 어렵다 새롭다 마켓 신선하다 케이 어쩌구 고기 맛있다 국뽕 마케팅 적절하다
닿는 것마다 황금으로 변하게끔 하는 케이팝이라는 이름의 미다스의 손.,황금 변하다 이름 미다스
그래서 진우는 어케됨..?제일 불쌍해,진우 어케됨 제일 불쌍하다
나도 모르는 한국적 요소들이 이렇게많구나. 감독이 궁금해지는 작품,한국 요소 궁금하다
단계단계 감정 변화를 따라가기 힘들다. 이해는 되는데 공감이 안된달까. 한국식 미니드라마로 나오면 더 좋을 것 같다.,단계 단계 감정 변화 힘들다 이해 공감 안되다 한국 미니
우리의 문화가 잘 남겨졌다만 케이팝 시장이 혼문인지 귀마인지는 모르겠다,우리 문화 시장 혼문 마인
넷플릭스 역대 1등이 이거라는 게 안타깝다,넷플릭스 역대 안타깝다
뻔하긴 한데 캐릭터 디자인을 개잘함,뻔하다 캐릭터 디자인
유명해서 기대한만큼 아쉬운게 너무 큼,유명하다 기대하다 아쉽다
아ㅋㅋㅋㅋ개열받네 진짜 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,개열
클리셰덩어리+유치찬란에 케이팝 섞은 애니메이션,클리셰 덩어리 유치 찬란 애니메이션
무엇보다 미국자본의 일본회사가 만든 케이팝 영화가.. 진짜 한국스럽게 잘 만들었다는 점이 넘 놀랍자나,무엇 미국 자본 회사 한국
김구선생님 보고 계신가요? 해낸것 같습니다.,김구 선생님 보고 계시다
그냥…그냥……더 이상 궁금하지 않달까,이상 궁금하다
애니메이션의 느낌이 좋았지만 스토리는 지루했다,애니메이션 스토리 지루하다
내면의 트라우마를 극복하고 자아를 확립하자는 미래지향적 메세지를 케이팝과 한국적 요소로 대중적으로 버무려낸,내면 트라우마 극복 자아 확립 미래 지향 메세지 한국 요소 대중 버무려낸
언론과 SNS 가 스포다. 나같이 늦게 본 사람들은 이미 음악이니 설정이니 다 익숙해져버려서 영화를 보는데 새롭게 찾아낼 매력이 없다. 트렌드를 따라가는 노력을 하지 않는것이 죄인가 싶을 정도.. 재미 있었을 수도 있을 영화가 넘 재미 없네.,언론 스포 사람 음악 설정 새롭다 매력 트렌드 노력 죄인 정도 재미 수도 재미
뮤지컬 영화는 역시 취향에 안맞는다. 그래도 노래는 건진듯.,뮤지컬 역시 취향 노래
유명하대서 봤는데 .. 노래만 기억에 남네 ㅎ,유명하다 대서 노래 기억
명성이 과분한데? OST는 맛있었다.,명성 과분 맛있다
어쩜 이리 해시태그처럼 요소요소 잘 박혀있는지,어쩜 해시태그 요소 요소
24프레임 맞추는데 너무끊김 살짝 오바해서 말하면 10프레임이나 5프레임으로 맞춘것같음,프레임 살짝 프레임 프레임
항마력 딸려서 끝까지 보느라 힘들었다…,마력 힘들다
기대한 것에 비해서는 재미가 없 업 업 잇츠 아워 모먼트,기대하다 재미 잇츠 모먼트
욜레이욜!! 기존의 화장실을 적당히 부수고 꾸며냈따,욜레이욜 기존 화장실 적당하다 부수
"2. <케이팝 데몬 헌터스>에서 아이돌 그룹 헌트릭스를 무당이나 슈퍼히어로와 닮았다고 말하는 평들이 많다. 분명 닮았다. 그러나 개인적으론 그들보다 일본의 사무라이나 중국의 무술인들이 떠올랐다. 자국에서 영화나 문화 사업의 아이콘으로 쓰이고는 미국에서 각색되고 문화 상품에 녹아들었다는 점에서 그러하다. 이 점은 <케이팝 데몬 헌터스> 이후를 상상하게 한다. 성룡이 <러시 아워>나 <가라테 키드>에서 총을 쏘는 미국 액션 스타들과 함께 나온 것을, 견자단이 <로그원>에서 광선검과 레이저총을 쓰는 인물들 사이에서 봉으로 무협 액션을 보이던 것을, 수많은 할리우드 액션 영화에서 일본도를 휘두르는 배우들이 있던 것을 떠올려보라. '케이팝 아이돌'이라는 캐릭터도 <케이팝 데몬 헌터스>에서 배경이 된 공연 무대를 벗어나서 언젠가는 다양한 할리우드 영화에 변형되어 등장할 수 있지 않을까? 그러나 아직 들려오는 소식은 <케이팝 데몬 헌터스2>의 제작 소식 뿐이다. 이 소식이 '케이팝 아이돌'의 변형과 확장에 한계를 만드는 것이 아니길 바란다.",데몬 헌터스 아이돌 그룹 트릭 무당 슈퍼히어로 분명 개인 들보 일본 사무라이 중국 무술 자국 문화 사업 아이콘 미국 각색 문화 상품 그러하다 데몬 헌터스 이후 상상 성룡 러시 가라테 키드 미국 액션 스타 견자단 로그 광선검 레이저 인물 사이 무협 액션 수많다 할리우드 액션 일본도 보라 아이돌 캐릭터 데몬 헌터스 배경 공연 무대 다양하다 할리우드 변형 등장 소식 데몬 헌터스 제작 소식 소식 아이돌 변형 확장 한계
시각적 안정감과 청각적 만족감 뒤에 숨은 조금 아쉬운 짜임새,시각 안정감 청각 만족감 조금 아쉽다 짜임새
영화 끝나고 남는건 노래와 러브라인,노래 러브 라인
어릴적에는 사랑도 우정도 성장도 4분이면 충분했을까,사랑 우정 성장 충분하다
음.. 왜 전세계가 열광하고 있는지 모르겠다.. 근데 미국에서 만든 것 치고 한국적 요소가 너무 많이 보여서 제작자분들이 한국에 대해 많이 공부했다는 것을 느낄 수 있었다. 이 점에선 영화를 높게 사고 싶다,전세계 열광하다 미국 한국 요소 제작자 한국 대해 공부 높다 사고
오징어겜때부터 내가 잘못됐구나 했다.,오징어 겜때
전개가 빨라서 구멍은 많아도 골든소다팝으로 흥얼거리게 됨,전개 구멍
애국자로서 가슴이 웅장해져버려,애국자 로서 가슴 웅장
"진우♥︎루미, 우리 사랑하게 해주세요…",진우 루미 우리 사랑
해외에서 하도 인기라길래 봐봤는데 보고 바로 이해함. 내 스타일 아니고 오글거린다 생각하긴 하지만 영미권에서 인기가 많을 수밖에 없겠다 느꼈음. 해외에서 한국에게 기대하는 부분들을 총집합해서 판타지화해서 들고온 작품인 듯. 오징어게임이 떴던 게 한국적인 게임을 넣어서였던 것처럼 외국인들이 흥미를 가질만한 한국적 요소를 개많이 넣음 근데 이제 이 애니는 고전+ㅈㄴ브레인롯 트렌디 믹스. 오징어게임이랑 아예 다른 부분은 대화하는 거나 유머코드나 다 미국임. 정서가 미국인데 그 안에 들어있는 아이템은 죄다 한국 그 자체임. 그러니 영어사용자/영어권 문화에 익숙한 사람들이 접하기쉬우면서도 새로운 문화에 대해 더 알게됐다 느끼게 만들 듯. 수많은 한국 음식중에 유독 김밥 ㅋㅋ 이 계속 등장한다거나 hoobae 이런 말은 그대로 고유명사처럼 사용하거나 썬캡쓴 korean ahjuma 이미지가 나온다던가 도깨비같은 한국적인 악귀가 등장한다거나 호랑이타고 서울을 난다거나 모든 소재의 디테일에서 한국에 대한 브랜딩이 확실함. 내가 외국에있으면서 느낀 외국 애들이 한국에 대해 재밌다고 흥미 가지는 포인트들이 여기에 다 들어있어서 신기했음. 해외 시류를 잘 읽은 느낌임,해외 보고 바로 이해 스타일 영미권 인기 해외 한국 기대하다 부분 집합 판타지 화하다 고온 오징어 게임 한국 게임 외국인 흥미 한국 요소 이제 애니 고전 브레인 트렌디 믹스 오징어 게임 아예 다른 부분 대화 거나 유머 코드 미국 정서 미국 아이템 한국 자체 영어 사용자 영어권 문화 익숙하다 사람 새롭다 문화 대해 수많다 한국 음식 유독 김밥 계속 등장 그대로 고유명사 사용 거나 이미지 도깨비 한국 악귀 등장 호랑이 타고 서울 모든 소재 디테일 한국 대한 브랜딩 확실하다 외국 외국 한국 대해 재밌다 흥미 포인트 여기 신기하다 해외 시류
골든 다음 노래는 정말 너어무 아쉬웠다!,다음 노래 아쉽다
앞 장면 넘 오글거려서 한 번 껐다가 며칠 뒤애 다시보니까 노래가 너무 조으내용!,장면 며칠 뒤애 시보 노래
노래가 좋으네. 한국적 요소가 엄청 많던데 외국사람들에게 인기가 많다는 게 기분 좋다,노래 한국 요소 외국 사람 인기 기분
곡이라도 좋지 않았으면 과연 몇점짜리 영화였을지…,과연
케이팝에 대한 이야기는 배제되고 케이한 요소들만 남은 것 같았다,대한 이야기 배제 케이 요소
신선한 발상과 소재를 게으른 표현과 조합으로 덮는다.,신선하다 발상 소재 게으르다 표현 조합
스토리 개연성도 살짝 부족해서 몰입도가 떨어짐,스토리 개연 성도 살짝 부족하다 몰입도
"“진부한 K스러움으로 가득하지만, 그만큼 K의 정수를 보여주는 영화다.”",진부하다 스럽다 가득하다 정수
올라가는 웅장함을 위해 걸리적거리는 도르래,웅장 위해 거리 도르래
내용은 0.5점 노래는 좋음,내용 노래
"한국적 전통과 풍경, 현대의 문화와 트렌드들을 ideal하게 mix한 made by korean의 idol 유니버스.",한국 전통 풍경 현대 문화 트렌드 유니버스
이야기자체는 단순함. 근데 음 캐릭터도 매력적이고 음 노래가 좋다?,이야기 자체 단순하다 캐릭터 매력 노래
"수록곡들 좋은 것은 인정하지만, 내용은 아쉽다.",수록 인정 내용 아쉽다
예술은 감성의 영역이다. 그것이 음악이든 영화든,예술 감성 영역 그것 음악
음악을 원래 좋아하지 않아서 그런지 나는 좀 별로 ㅠㅠ,음악 원래 좋아하다 별로
외국에서 생각하는 한국은 이렇구나.,외국 한국
기대 이하와 기대 이상을 함께 맛볼 수 있는 작품,기대 이하 기대 이상
위기에 빠진 주인공이 모두의 염원을 모아 검은 마법사를 물리치는... 어라?,위기 주인공 모두 염원 검다 마법사
그니까 서양애들은 이런걸 좋아한다는거지..???,좋아하다 거지
요새 하도 핫하다길래 보긴 했는데.. 뭐 노래는 들을만하긴 하네,요새 노래
쇼츠만 봐도 충분 golden은 좋음,쇼츠 충분
2025년의 외피를 썼지만 감성이 2000년대 한국 드라마라서 약간은 촌스럽게 다가온다. 프로즌의 인상이 강하게 남지만 주제가 달랐다면 어땠을까? 케이팝을 제목에 전면으로 내세운 만큼 문화적 맥락을 살려 활용했으면 좋았을 것 같다. 단순히 ‘소재’에서 그치는 게 좀 게으르게 느껴진다. 헌트릭스는 묘하게 블랙핑크보다 테일러 스위프트적이다. 그들의 팬도 스위프티를 보는 것 같다.,외피 감성 년대 한국 약간 프로즌 인상 강하다 남지 주제가 다르다 제목 전면 세운 만큼 문화 맥락 활용 단순하다 소재 게으르다 트릭 블랙 핑크 테일러 스위프트 스위프티
생각 없이 간단히 보기 좋다,간단하다 보기
그 사이에 거짓이 있는지 늘 생각해 보자.,사이 거짓
왜 이렇게 인기많은건지 나만 모르겠냐?,인기
"굉장한 화제가 오래 지속되어 드디어 보게 되었다. 이 영화의 목적은 사실 처음부터 끝까지 분명하게 나타난다. 매력적인 캐릭터 디자인과 끝내주는 노래로 케이팝을 향한 애정을 드러내는 (정확한 타겟은 없는) 케이팝 헌정 영화. 그래서 그런지 내용 자체는 뻔하기도 하고 짧은 러닝타임동안 압축해서 빠르게 전달하여 깊이감이 전혀 없다고 볼 수도 있다. 하지만 의도한 매력 포인트가 최상급으로 선보일 수 있다면 단점으로 작용하는 요소들은 상관없어질 수 있는 경험을 했다. 내용에 맞추어 여러 노래들이 선보여졌는데 하나같이 퀄리티가 굉장하고 중독성도 뛰어나며 특히 ‘Golden’의 경우는 노래 자체가 주는 감동도 뛰어났다. 그리고 주인공부터 빌런, 감초 캐릭터까지 깊은 서사가 다루어지지 않음에도 충분히 매력을 느낄 수 있도록 잘 디자인되었다고 느껴진다. 이번의 성공으로 오히려 스핀오프나 후속작을 기대하게 만드는 영화였다.",굉장하다 화제 지속 목적 사실 처음 분명하다 매력 캐릭터 디자인 끝내주다 노래 애정 정확하다 타겟 내용 자체 뻔하다 짧다 러닝 타임 동안 압축 빠르다 전달 깊이 전혀 수도 의도 매력 포인트 최상급 단점 작용 요소 상관없다 경험 내용 여러 노래 퀄리티 굉장하다 중독 성도 뛰어나다 경우 노래 자체 감동 뛰어나다 주인공 빌런 감초 캐릭터 깊다 서사 충분하다 매력 디자인 이번 성공 오히려 스핀오프 후속작 기대하다
전반적으로유치해서 한번 흥미롭게 보기 딱,전반 유치하다 한번 흥미롭다 보기
우리는 자신을 감추고 나약한 모습은 숨기려고 한다. 하지만 그 모습은 내가 아닐까? 나를 당당히 드러낼수 있는 용기도 대단하고 성장하는 나이지만 난 사랑하는 사람의 감추고 싶은 모습까지 사랑할 수 있다,우리 자신 나약하다 모습 모습 당당하다 용기 대단하다 성장하다 나이 사랑 사람 모습 사랑
빨리감기로 보는듯한 진행속도와 뭘 전할려는건지 알 수없는 스토리..,감기 진행 속도 스토리
이게 왜 인기가 있다는건지 설명좀,인기 설명
"스토리, 개연성이 엉망이어도 청각+시각적 화려함만으로도 성공할 수 있다는 사례",스토리 개연 엉망 이어도 청각 시각 화려하다 성공하다 사례
작품 외적인 요소를 모두 배제하면 그저 평범한 어린이용 애니메이션,외적인 요소 모두 배제 평범하다 어린이 애니메이션
<골든> 무대 나올 때는 감탄함,무대 감탄
스토리도 노래도 내 취향이 아니었다.,스토리 노래 취향
노래는 좋지만 내용은 유치해서 중간에 드롭,노래 내용 유치하다 중간 드롭
중2병 같은 아이돌의 끼부림을 너무 고증을 잘해서,아이돌 끼부리다 고증
제 취향은.. 그래도 외쳐 사자보이즈!,취향 사자 보이즈
어떻게 해야 주제를 사람들에게 더 퍼뜨릴 수 있을까? 그게 노래랑 잘 연결된 듯하다,주제 사람 퍼뜨릴 그게 노래 연결
개성 있다. 혐오가 아닌 자신에게 당당한 목소리를 드러내라는 메시지도 좋았다. 그러나 갬성 코드가 안맞으면 그렇게까지 재밌게 보기 쉽지 않다.,개성 혐오 자신 당당하다 목소리 메시지 코드 재밌다 보기
계속 피식피식 웃게되는데 이게 헛웃음인지 찐웃음인지 구분은 안되는…,계속 헛웃음 웃음 구분 안되다
마 내가 느그 동료랑 악령도 잡고! 으이? 사우나도 가고! 다했어 마!,동료 악령 잡고 사우나
근데 골든 너무 좋다 미친노래,미치다 노래
"내 취향은 아니었지만, 게을러진 디즈니에게",취향 게으르다 디즈니
"칼날은 잘 벼르고 지켜야 할 걸 모두 지키며, 아이들을 위한 장면들이 풍부한 좋은 오락작품",칼날 벼르 모두 아이 장면 풍부하다 오락
벽장 안 클로짓의 죄책감이 만악의 근원이라니 불쾌하기 짝이 없네. <겨울왕국>의 'Let It Go'에서 열 발자국 쯤은 퇴보한 듯. 이렇게 안일한 커밍아웃 서사가 2025년에???,벽장 죄책감 악의 근원 불쾌하다 겨울왕국 발자국 퇴보하다 안일하다 커밍아웃 서사
케이팝을 소재로 억지스럽지 않게 잘 풀어나간 듯. 노래도 좋다.,소재 억지 노래
"마치 서브리미널 효과를 경험하는 듯한, 곳곳에 퍼져있는 한국적 요소들.",마치 서브리미널 효과 경험 곳곳 한국 요소
케이팝 소재로 이런 걸 만들었다는 데에 의의를,소재 의의
"딱 그 정도의 재미, 그 정도의 감동(이라고 부를 수 있는 종류의 무엇).",정도 재미 정도 감동 종류 무엇
